factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
LIMIT_UP_SPACE,20D,-0.0143,-1.7959,0.072772,0.146911
IS_LIMIT_UP_LAG1,1D,0.0003,0.4194,0.674968,0.788685
IS_LIMIT_UP_LAG1,3D,0.0016,2.0373,0.041842,0.103205
IS_LIMIT_UP_LAG1,5D,0.0001,0.2022,0.839813,0.92358
IS_LIMIT_UP_LAG1,10D,0.0004,0.5521,0.581009,0.709755
IS_LIMIT_UP_LAG1,20D,-0.0008,-0.7596,0.447631,0.595917
IS_LIMIT_DOWN_LAG1,1D,0.0003,0.8209,0.411853,0.560433
IS_LIMIT_DOWN_LAG1,3D,-0.0003,-0.9062,0.365034,0.511497
IS_LIMIT_DOWN_LAG1,5D,-0.0003,-0.6474,0.517529,0.654522
IS_LIMIT_DOWN_LAG1,10D,-0.0002,-0.6303,0.528592,0.659798
IS_LIMIT_DOWN_LAG1,20D,-0.0002,-0.5997,0.548855,0.678183
UPPER_SHADOW_RATIO,1D,-0.0002,-0.0604,0.951829,0.995831
UPPER_SHADOW_RATIO,3D,-0.0009,-0.3515,0.725311,0.820747
UPPER_SHADOW_RATIO,5D,0.001,0.4095,0.682267,0.794196
UPPER_SHADOW_RATIO,10D,0.002,0.7146,0.474991,0.622702
UPPER_SHADOW_RATIO,20D,0.0005,0.2103,0.833438,0.918919
LOWER_SHADOW_RATIO,1D,-0.0027,-1.0154,0.310119,0.458251
LOWER_SHADOW_RATIO,3D,0.001,0.3634,0.716339,0.814883
LOWER_SHADOW_RATIO,5D,0.0021,0.7175,0.473185,0.622231
LOWER_SHADOW_RATIO,10D,0.002,0.7319,0.464391,0.61254
LOWER_SHADOW_RATIO,20D,0.0003,0.0956,0.923825,0.973639
ENTITY_RATIO,1D,0.0012,0.4858,0.627225,0.748352
ENTITY_RATIO,3D,0.0011,0.4415,0.658898,0.772006
ENTITY_RATIO,5D,-0.0009,-0.3646,0.715491,0.814883
ENTITY_RATIO,10D,-0.0022,-0.9364,0.349281,0.497321
ENTITY_RATIO,20D,-0.001,-0.3731,0.709149,0.813001
INTRADAY_CLOSE_LOC,1D,-0.0159,-4.5407,6e-06,0.000136
INTRADAY_CLOSE_LOC,3D,-0.0041,-1.1762,0.239759,0.376233
INTRADAY_CLOSE_LOC,5D,-0.0017,-0.4843,0.628268,0.748352
INTRADAY_CLOSE_LOC,10D,0.0004,0.107,0.914839,0.966538
INTRADAY_CLOSE_LOC,20D,-0.0015,-0.4034,0.686699,0.795905
LOG_CIRC_MV,1D,0.0038,0.7747,0.438662,0.587616
LOG_CIRC_MV,3D,-0.0026,-0.3585,0.720053,0.816947
LOG_CIRC_MV,5D,-0.0083,-0.8788,0.37969,0.524989
LOG_CIRC_MV,10D,-0.0203,-1.4881,0.136999,0.244438
LOG_CIRC_MV,20D,-0.0382,-1.9832,0.047576,0.111183
EFFICIENCY_RATIO_10,1D,-0.0042,-1.5904,0.112008,0.204951
EFFICIENCY_RATIO_10,3D,0.0022,0.6342,0.526061,0.659493
EFFICIENCY_RATIO_10,5D,0.008,2.0503,0.040549,0.102151
EFFICIENCY_RATIO_10,10D,0.0144,3.4353,0.000613,0.004468
EFFICIENCY_RATIO_10,20D,0.0163,3.3669,0.000785,0.005301
AMIHUD_20,1D,0.0,0.0,1.0,1.0
AMIHUD_20,3D,0.0,0.0,1.0,1.0
AMIHUD_20,5D,0.0,0.0,1.0,1.0
AMIHUD_20,10D,0.0,0.0,1.0,1.0
AMIHUD_20,20D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,1D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,3D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,5D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,10D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,20D,0.0,0.0,1.0,1.0
ALPHA_RESIDUAL_MOMENTUM_20,1D,-0.012,-2.8051,0.005112,0.022898
ALPHA_RESIDUAL_MOMENTUM_20,3D,-0.0146,-2.3718,0.017862,0.061941
ALPHA_RESIDUAL_MOMENTUM_20,5D,-0.0157,-2.0452,0.041055,0.102637
ALPHA_RESIDUAL_MOMENTUM_20,10D,-0.0199,-2.0073,0.044943,0.107964
ALPHA_RESIDUAL_MOMENTUM_20,20D,-0.0251,-1.9353,0.053188,0.119119
ALPHA_TURNOVER_SURPRISE_5_20,1D,-0.0046,-1.7401,0.082092,0.161925
ALPHA_TURNOVER_SURPRISE_5_20,3D,0.0004,0.1118,0.910978,0.966538
ALPHA_TURNOVER_SURPRISE_5_20,5D,0.0018,0.3729,0.709321,0.813001
ALPHA_TURNOVER_SURPRISE_5_20,10D,0.0067,1.0835,0.278811,0.425137
ALPHA_TURNOVER_SURPRISE_5_20,20D,0.002,0.3208,0.748401,0.838053
ALPHA_QUALITY_X_MOMENTUM,1D,-0.009,-2.3761,0.017652,0.06171
ALPHA_QUALITY_X_MOMENTUM,3D,-0.0101,-1.8599,0.063144,0.133434
