factor,horizon,mean_rank_ic,hac_t,hac_p,global_fdr_p
TURNOVER_STD_20,20D,0.0,0.0,1.0,1.0
AMOUNT_RATIO_5_20,1D,-0.0156,-0.922,0.356755,1.0
AMOUNT_RATIO_5_20,3D,-0.0003,-0.014,0.988868,1.0
AMOUNT_RATIO_5_20,5D,0.0053,0.2251,0.821948,1.0
AMOUNT_RATIO_5_20,10D,0.0328,1.2453,0.213365,1.0
AMOUNT_RATIO_5_20,20D,0.0303,1.0041,0.315631,1.0
LIMIT_UP_SPACE,1D,-0.014,-0.8613,0.38929,1.0
LIMIT_UP_SPACE,3D,0.001,0.0619,0.950632,1.0
LIMIT_UP_SPACE,5D,0.0043,0.2763,0.782367,1.0
LIMIT_UP_SPACE,10D,0.0068,0.4366,0.662509,1.0
LIMIT_UP_SPACE,20D,0.0196,1.09,0.276012,1.0
IS_LIMIT_UP_LAG1,1D,0.0,0.0,1.0,1.0
IS_LIMIT_UP_LAG1,3D,0.0,0.0,1.0,1.0
IS_LIMIT_UP_LAG1,5D,0.0,0.0,1.0,1.0
IS_LIMIT_UP_LAG1,10D,0.0,0.0,1.0,1.0
IS_LIMIT_UP_LAG1,20D,0.0,0.0,1.0,1.0
IS_LIMIT_DOWN_LAG1,1D,0.0,0.0,1.0,1.0
IS_LIMIT_DOWN_LAG1,3D,0.0,0.0,1.0,1.0
IS_LIMIT_DOWN_LAG1,5D,0.0,0.0,1.0,1.0
IS_LIMIT_DOWN_LAG1,10D,0.0,0.0,1.0,1.0
IS_LIMIT_DOWN_LAG1,20D,0.0,0.0,1.0,1.0
UPPER_SHADOW_RATIO,1D,0.0207,1.247,0.212711,1.0
UPPER_SHADOW_RATIO,3D,0.0063,0.3821,0.702463,1.0
UPPER_SHADOW_RATIO,5D,0.006,0.3596,0.719244,1.0
UPPER_SHADOW_RATIO,10D,-0.0039,-0.2367,0.81296,1.0
UPPER_SHADOW_RATIO,20D,-0.0183,-1.009,0.313257,1.0
LOWER_SHADOW_RATIO,1D,-0.0038,-0.2258,0.821392,1.0
LOWER_SHADOW_RATIO,3D,0.0022,0.1322,0.894858,1.0
LOWER_SHADOW_RATIO,5D,0.0008,0.0533,0.957539,1.0
LOWER_SHADOW_RATIO,10D,0.02,1.3085,0.191055,1.0
LOWER_SHADOW_RATIO,20D,0.0381,2.2533,0.024482,0.811804
ENTITY_RATIO,1D,-0.012,-0.7182,0.472827,1.0
ENTITY_RATIO,3D,-0.0027,-0.1584,0.874202,1.0
ENTITY_RATIO,5D,-0.0101,-0.6397,0.522542,1.0
ENTITY_RATIO,10D,-0.0095,-0.6104,0.541724,1.0
ENTITY_RATIO,20D,-0.0047,-0.2669,0.789574,1.0
INTRADAY_CLOSE_LOC,1D,-0.0095,-0.5699,0.568856,1.0
INTRADAY_CLOSE_LOC,3D,0.013,0.7794,0.435937,1.0
INTRADAY_CLOSE_LOC,5D,0.0024,0.1489,0.881636,1.0
INTRADAY_CLOSE_LOC,10D,0.0114,0.7292,0.466068,1.0
INTRADAY_CLOSE_LOC,20D,0.041,2.6909,0.00726,0.811804
LOG_CIRC_MV,1D,0.0,0.0,1.0,1.0
LOG_CIRC_MV,3D,0.0,0.0,1.0,1.0
LOG_CIRC_MV,5D,0.0,0.0,1.0,1.0
LOG_CIRC_MV,10D,0.0,0.0,1.0,1.0
LOG_CIRC_MV,20D,0.0,0.0,1.0,1.0
EFFICIENCY_RATIO_10,1D,0.0009,0.0585,0.953375,1.0
EFFICIENCY_RATIO_10,3D,-0.0209,-1.1122,0.266344,1.0
EFFICIENCY_RATIO_10,5D,-0.0348,-1.4907,0.136381,1.0
EFFICIENCY_RATIO_10,10D,-0.0122,-0.4629,0.643519,1.0
EFFICIENCY_RATIO_10,20D,-0.0249,-0.8615,0.389193,1.0
AMIHUD_20,1D,0.0,0.0,1.0,1.0
AMIHUD_20,3D,0.0,0.0,1.0,1.0
AMIHUD_20,5D,0.0,0.0,1.0,1.0
AMIHUD_20,10D,0.0,0.0,1.0,1.0
AMIHUD_20,20D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,1D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,3D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,5D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,10D,0.0,0.0,1.0,1.0
AMIHUD_20_LN,20D,0.0,0.0,1.0,1.0
