model_id,fold,rank,feature
lightgbm_clf_baseline,5,39,STD60
lightgbm_clf_baseline,5,40,STD120
lightgbm_clf_baseline,5,41,STD250
lightgbm_clf_baseline,5,42,ATR_RATIO_5
lightgbm_clf_baseline,5,43,ATR_RATIO_20
lightgbm_clf_baseline,5,44,ATR_RATIO_60
lightgbm_clf_baseline,5,45,ROC_STD_20
lightgbm_clf_baseline,5,46,ROC_STD_60
lightgbm_clf_baseline,5,47,ROC_STD_120
lightgbm_clf_baseline,5,48,ROC_STD_250
lightgbm_clf_baseline,5,49,MOM_ACC_20_60
lightgbm_clf_baseline,5,50,MOM_ACC_60_120
lightgbm_clf_baseline,5,51,VMA_RATIO_5
lightgbm_clf_baseline,5,52,VSTD_5
lightgbm_clf_baseline,5,53,VMA_RATIO_10
lightgbm_clf_baseline,5,54,VSTD_10
lightgbm_clf_baseline,5,55,VMA_RATIO_20
lightgbm_clf_baseline,5,56,VSTD_20
lightgbm_clf_baseline,5,57,VMA_RATIO_60
lightgbm_clf_baseline,5,58,VSTD_60
lightgbm_clf_baseline,5,59,CORR_PV_5
lightgbm_clf_baseline,5,60,WVMA_5
lightgbm_clf_baseline,5,61,CORR_PV_10
lightgbm_clf_baseline,5,62,WVMA_10
lightgbm_clf_baseline,5,63,CORR_PV_20
lightgbm_clf_baseline,5,64,WVMA_20
lightgbm_clf_baseline,5,65,TURNOVER_SURGE_5
lightgbm_clf_baseline,5,66,TURNOVER_SURGE_20
lightgbm_clf_baseline,5,67,TURNOVER_STD_20
lightgbm_clf_baseline,5,68,AMOUNT_RATIO_5_20
lightgbm_clf_baseline,5,69,LIMIT_UP_SPACE
lightgbm_clf_baseline,5,70,IS_LIMIT_UP_LAG1
lightgbm_clf_baseline,5,71,IS_LIMIT_DOWN_LAG1
lightgbm_clf_baseline,5,72,UPPER_SHADOW_RATIO
lightgbm_clf_baseline,5,73,LOWER_SHADOW_RATIO
lightgbm_clf_baseline,5,74,ENTITY_RATIO
lightgbm_clf_baseline,5,75,INTRADAY_CLOSE_LOC
lightgbm_clf_baseline,5,76,LOG_CIRC_MV
lightgbm_clf_baseline,5,77,EFFICIENCY_RATIO_10
lightgbm_clf_baseline,5,78,AMIHUD_20
lightgbm_clf_baseline,5,79,AMIHUD_20_LN
lightgbm_clf_baseline,6,1,KMID
